
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0208                          STM32                              1   1     24  24   1 27         27 0 LED1_B              (2992-19-13)
40-0208                          STM32                              1   1     25  25   1 57         57 0 LED_HP_G            (2992-37-13)
40-0208                          STM32                              1   1     26  26   1 58         58 0 LED_HP_B            (2992-54-13)
40-0208                          STM32                              1   1     27  27   1 59         59 0 LED_HP_W            (2992-55-13)
40-0208                          STM32                              1   1     28  28   1 61         61 0 FDC_I2C_SCL         (2992-38-13)
40-0208                          STM32                              1   1     29  29   1 62         62 0 FDC_I2C_SDA         (2992-50-13)
40-0208                          STM32                              1   1     30  30   1 29         29 0 LED2_G              (2992-21-13)
40-0208                          STM32                              1   1     31  31   1 30         30 0 LED2_B              (2992-22-13)
40-0208                          STM32                              1   1     32  32   1 33         33 0 AUDIO_LRCK          (2992-35-13)
40-0208                          STM32                              1   1     33  33   1 34         34 0 AUDIO_SCLK          (2992-23-13)
40-0208                          STM32                              1   1     34  34   1 35         35 0 LED3_R              (2992-24-13)
40-0208                          STM32                              1   1     35  35   1 36         36 0 AUDIO_SDIN          (2992-25-13)
40-0208                          STM32                              1   1     36  36   1 8           8 0 BT_SET_MASTER       (2992-5-13)
40-0208                          STM32                              1   1     37  37   1 9           9 0 BT_FACTORY_RESET    (2992-6-13)
40-0208                          STM32                              1   1     38  38   1 10         10 0 BT_AUTO_DISCOVERY   (2992-7-13)
40-0208                          STM32                              1   1     39  39   1 11         11 0 BT_RST              (2992-39-13)
40-0208                          STM32                              1   1     40  40   1 24         24 0 SERVO5              (2992-47-13)
40-0208                          STM32                              1   1     41  41   1 25         25 0 LED1_R              (2992-17-13)
40-0208                          STM32                              1   1     42  42   1 37         37 0 AUDIO_MCLK          (2992-26-13)
40-0208                          STM32                              1   1     43  43   1 38         38 0 LED3_G              (2992-27-13)
40-0208                          STM32                              1   1     44  44   1 39         39 0 LED3_B              (2992-28-13)
40-0208                          STM32                              1   1     45  45   1 40         40 0 LED4_R              (2992-29-13)
40-0208                          STM32                              1   1     46  46   1 51         51 0 FDC1_INT            (2992-49-13)
40-0208                          STM32                              1   1     47  47   1 52         52 0 LED4_B              (2992-31-13)
40-0208                          STM32                              1   1     48  48   1 53         53 0 LED5_R              (2992-32-13)
40-0208                          STM32                              1   1     49  49   1 2           2 0 FDC2_INT            (2992-58-13)
40-0208                          STM32                              1   1     50  50   1 3           3 0 FDC1_SHUTDOWN       (2992-2-13)
40-0208                          STM32                              1   1     51  51   1 4           4 0 FDC2_SHUTDOWN       (2992-3-13)
40-0208                          STM32                              1   1     52  52   1 54         54 0 LED5_G              (2992-33-13)
40-0208                          STM32                              1   1     53  53   1 7           7 0 RESETn              (2992-4-13)
40-0208                          STM32                              1   1     54  54   1 1           1 0 VCC                 (2992-14-13)
40-0208                          STM32                              1   1     55  55   1 31         31 0 XSIG010888          (3033-2-13)
40-0208                          STM32                              1   1     56  56   1 47         47 0 XSIG010889          (3033-3-13)
40-0208                          STM32                              1   1     57  57   1 13         13 0 VCC                 (2992-14-13)
40-0208                          STM32                              1   2      1   1   2 19         19 0 VCC                 (2992-14-13)
40-0208                          STM32                              1   2      1   1   3 32         32 0 VCC                 (2992-14-13)
40-0208                          STM32                              1   2      1   1   4 48         48 0 VCC                 (2992-14-13)
40-0208                          STM32                              1   2      1   1   5 64         64 0 VCC                 (2992-14-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0208                          STM32                              1   3      1   1   6 18         18 0 GND                 (2992-1-13)
40-0208                          STM32                              1   3      1   1   7 63         63 0 GND                 (2992-1-13)
40-0208                          STM32                              1   3      1   1   8 12         12 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      1   1   1 4           5 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      2   2   1 3           4 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      3   3   1 5           6 0 FDC1_INT            (2992-49-13)
40-0288                          FDC1                              59   1      4   4   1 9          10 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      5   5   1 10         11 0 XSIG030093          (2992-68-13)
40-0288                          FDC1                              59   1      6   6   1 11         12 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      7   7   1 12         13 0 XSIG030087          (2992-67-13)
40-0288                          FDC1                              59   1      8   8   1 13         14 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1      9   9   1 14         15 0 XSIG030196          (2992-70-13)
40-0288                          FDC1                              59   1     10  10   1 15         16 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   1     11  11   1 16         17 0 XSIG030191          (2992-69-13)
40-0288                          FDC1                              59   1     12  12   1 1           2 0 FDC_I2C_SCL         (2992-38-13)
40-0288                          FDC1                              59   1     13  13   1 6           7 0 FDC1_SHUTDOWN       (2992-2-13)
40-0288                          FDC1                              59   1     14  14   1 2           3 0 FDC_I2C_SDA         (2992-50-13)
40-0288                          FDC1                              59   2      1   1   2 7           8 0 VCC                 (2992-14-13)
40-0288                          FDC1                              59   3      1   1   3 8           9 0 GND                 (2992-1-13)
40-0288                          FDC1                              59   3      1   1   4 PAD         1 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1      1   1   1 4           5 0 VCC                 (2992-14-13)
40-0288                          FDC2                              60   1      2   2   1 3           4 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1      3   3   1 5           6 0 FDC2_INT            (2992-58-13)
40-0288                          FDC2                              60   1      4   4   1 9          10 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1      5   5   1 10         11 0 XSIG030075          (2992-65-13)
40-0288                          FDC2                              60   1      6   6   1 11         12 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1      7   7   1 12         13 0 XSIG030080          (2992-66-13)
40-0288                          FDC2                              60   1      8   8   1 13         14 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1      9   9   1 14         15 0 XSIG030202          (2992-72-13)
40-0288                          FDC2                              60   1     10  10   1 15         16 0 GND                 (2992-1-13)
40-0288                          FDC2                              60   1     11  11   1 16         17 0 XSIG030199          (2992-71-13)
40-0288                          FDC2                              60   1     12  12   1 1           2 0 FDC_I2C_SCL         (2992-38-13)
40-0288                          FDC2                              60   1     13  13   1 6           7 0 FDC2_SHUTDOWN       (2992-3-13)
